flow,pkts,bytes,dur,pps,mean_size,std_size,min_iat,mean_iat,syn,ack,fin,rst,syn_frac,bidir,proto,dport,label
"('4', '127.0.0.1', 9999, '127.0.0.1', 12482, 'UDP')",2,128,0.7037520408630371,2.8419100533581774,64.0,0.0,0.7037520408630371,0.7037520408630371,0,0,0,0,0.0,0,UDP,127.0.0.1,Normal
"('4', '127.0.0.1', 1793, '127.0.0.1', 9999, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 14371, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 64371, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 34944, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 50324, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 23583, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 55236, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 45427, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 18543, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 37122, 'UDP')",2,128,0.44709300994873047,4.473342135743402,64.0,0.0,0.44709300994873047,0.44709300994873047,0,0,0,0,0.0,0,UDP,127.0.0.1,Normal
"('4', '127.0.0.1', 9999, '127.0.0.1', 24477, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 42768, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 2870, '127.0.0.1', 9999, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 26488, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 43209, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 43942, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
